year,rain_mm,Kinneret_Level_end_of_year,KinneretInPrecent_end_of_year,sns_drt,rpr_hail,rpr_snow,rpr_gale,rain_day,tmp_air_max,tmp_air_min,Change_from_last_year
2001,6786.592260366156,-214.68,0.028919330289192986,518.3105590062112,0.006728778467908902,0.0,0.00015527950310559007,115,25.136519764014903,14.52024592911034,-1.0300000000000011
2002,6929.416260786444,-214.08,0.12024353120243422,528.5521472392638,0.033486707566462166,0.0034061030993546328,0.0010857921900866685,101,25.654940302029246,15.150958331545754,0.5999999999999943
2003,8791.171982138181,-211.03,0.5844748858447499,501.3115727002967,0.05158259149357072,0.0034581145857110257,0.0007496486022177105,117,25.52642144046747,15.555699812441642,3.0500000000000114
2004,6999.381557366509,-210.84,0.613394216133943,506.874251497006,0.019461077844311378,0.008882235528942118,0.0031024417330752026,100,24.879060114813115,14.65015241330791,0.18999999999999773
2005,6697.0925777728835,-211.64,0.49162861491628945,516.4017595307918,0.010263929618768328,0.007820136852394917,0.001148565896212138,106,25.024635903214325,14.751988853316996,-0.799999999999983
2006,6353.565126023137,-212.18,0.40943683409436843,509.4736842105263,0.018128654970760234,0.0037037037037037034,0.0012036018901007458,107,24.868957385686777,14.40953608211675,-0.5400000000000205
2007,5042.729997148505,-212.59,0.34703196347032017,503.14814814814815,0.015432098765432098,0.0010288065843621398,0.0021062836340614115,102,25.250492627214033,15.043760915873467,-0.4099999999999966
2008,1516.2338174795775,-212.53,0.3561643835616447,498.4173913043478,0.004347826086956522,0.018115942028985508,0.0035782108945527236,49,21.510324411068797,10.668333807336229,0.060000000000002274
2015,2428.0912633622343,-213.035,0.279299847793,564.110599078341,0.0,0.0015360983102918587,0.0013122416189315918,51,28.559461605196066,17.555934693919177,-0.5049999999999955
2016,3155.6922551403645,-213.77,0.1674277016742763,557.2816901408451,0.007042253521126761,0.007042253521126761,0.0018863179074446676,61,27.56775951266314,16.17237793761145,-0.7350000000000136
2017,2456.0926813757933,-214.38,0.07458143074581577,510.8031496062992,0.007874015748031496,0.011811023622047244,0.0011300670749489648,68,26.05282623900319,14.860067299997883,-0.6099999999999852
2018,7511.057099767959,-214.47,0.06088280060882893,485.11333333333334,0.0033333333333333335,0.006666666666666667,0.001728395061728395,112,26.277948805867563,16.09688062256298,-0.09000000000000341
2019,3052.185939925096,-211.82,0.46423135464231574,543.4801762114538,0.0,0.004405286343612335,0.0008544498412339823,51,27.586116993052713,16.44432747121008,2.6500000000000057
2020,4165.446642432694,-209.955,0.7480974124809737,428.8392857142857,0.0,0.03571428571428571,0.006613756613756613,53,23.918146852209354,14.130545520009804,1.8649999999999807
2021,1372.8866826401336,-209.195,0.8637747336377499,382.97872340425533,0.0,0.0425531914893617,0.006820466835140349,20,19.741762507188042,9.293855025237999,0.7600000000000193
