Date,tmp_air_max,tmp_air_min,sns_drt,rpr_hail,rpr_snow,rpr_gale,stations,Kinneret_Level,rain_mm,year,month,day,rain_day,rain_yesterday,rain_yesterday_mm,Change_from_last_day,KinneretInPrecent
1969-01-01,19.567741935483877,7.251612903225806,504.0,0.0,0.0,0.0,31,-209.17,0.0,1969,1,1,0,,,,0.8675799086758026
1969-01-02,19.62903225806451,8.848387096774191,444.0,0.0,0.0,0.0,31,-209.21,0.0,1969,1,2,0,0.0,0.0,-0.040000000000020464,0.8614916286149167
1969-01-03,18.722580645161294,11.36451612903226,339.0,0.0,0.0,0.0,31,-209.22,0.0,1969,1,3,0,0.0,0.0,-0.009999999999990905,0.8599695585996974
1969-01-04,16.651612903225804,11.061290322580643,189.0,1.0,0.0,0.0,31,-209.25,55.450980392156865,1969,1,4,1,0.0,0.0,-0.030000000000001137,0.8554033485540351
1969-01-05,14.1,8.145161290322578,198.0,1.0,0.0,0.0,31,-209.27,311.75,1969,1,5,1,1.0,55.450980392156865,-0.020000000000010232,0.8523592085235921
1969-01-06,10.816129032258065,6.751612903225807,0.0,1.0,1.0,0.0,31,-209.28,437.1,1969,1,6,1,1.0,311.75,-0.009999999999990905,0.8508371385083728
1969-01-07,10.841935483870964,7.116129032258064,12.0,1.0,1.0,0.0,31,-209.2,296.7083333333333,1969,1,7,1,1.0,437.1,0.0800000000000125,0.8630136986301403
1969-01-08,12.938709677419356,7.36774193548387,288.0,0.0,0.0,0.0,31,-209.16,64.45762711864407,1969,1,8,1,1.0,296.7083333333333,0.03999999999999204,0.8691019786910219
1969-01-09,15.332258064516127,6.935483870967744,282.0,0.0,0.0,0.0,31,-209.14,7.45,1969,1,9,1,1.0,64.45762711864407,0.020000000000010232,0.8721461187214649
1969-01-10,15.909677419354837,6.2322580645161265,348.0,0.0,0.0,0.0,31,-209.13,1.0,1969,1,10,1,1.0,7.45,0.009999999999990905,0.8736681887366842
1969-01-11,16.33225806451613,5.616129032258064,456.0,0.0,0.0,0.0,31,-209.14,1.3333333333333333,1969,1,11,1,1.0,1.0,-0.009999999999990905,0.8721461187214649
1969-01-12,13.81935483870968,6.890322580645161,3.0,0.0,0.0,0.0,31,-209.15,264.3613445378151,1969,1,12,1,1.0,1.3333333333333333,-0.010000000000019327,0.8706240487062412
1969-01-13,14.512903225806456,9.412903225806451,36.0,0.0,0.0,0.0,31,-209.16,27.48076923076923,1969,1,13,1,1.0,264.3613445378151,-0.009999999999990905,0.8691019786910219
1969-01-14,15.316129032258065,9.666666666666664,117.0,0.0,0.0,0.0,31,-209.14,52.61290322580645,1969,1,14,1,1.0,27.48076923076923,0.020000000000010232,0.8721461187214649
1969-01-15,16.67096774193548,7.780645161290322,456.0,0.0,0.0,0.0,31,-209.14,0.0,1969,1,15,0,1.0,52.61290322580645,0.0,0.8721461187214649
1969-01-16,17.164516129032254,8.638709677419355,90.0,0.0,0.0,0.0,31,-209.15,0.0,1969,1,16,0,0.0,0.0,-0.010000000000019327,0.8706240487062412
1969-01-17,18.916129032258063,10.361290322580643,492.0,0.0,0.0,0.0,31,-209.16,0.0,1969,1,17,0,0.0,0.0,-0.009999999999990905,0.8691019786910219
1969-01-18,19.720000000000002,11.8,462.0,0.0,0.0,0.0,30,-209.18,164.64166666666668,1969,1,18,1,0.0,0.0,-0.020000000000010232,0.866057838660579
1969-01-19,15.248387096774193,7.951612903225806,300.0,1.0,0.0,0.0,31,-209.19,215.58333333333334,1969,1,19,1,1.0,164.64166666666668,-0.009999999999990905,0.8645357686453596
1969-01-20,13.958064516129031,9.829032258064515,24.0,1.0,0.0,0.0,31,-209.21,260.89166666666665,1969,1,20,1,1.0,215.58333333333334,-0.020000000000010232,0.8614916286149167
1969-01-21,13.906451612903227,10.566666666666666,90.0,1.0,0.0,1.0,31,-209.15,416.84166666666664,1969,1,21,1,1.0,260.89166666666665,0.060000000000002274,0.8706240487062412
1969-01-22,12.696774193548382,8.819354838709677,39.0,1.0,0.0,1.0,31,-209.05,922.5583333333333,1969,1,22,1,1.0,416.84166666666664,0.09999999999999432,0.8858447488584473
1969-01-23,11.841935483870968,8.445161290322579,24.0,0.0,0.0,0.0,31,-208.69,258.55,1969,1,23,1,1.0,922.5583333333333,0.36000000000001364,0.9406392694063948
1969-01-24,11.358064516129033,7.187096774193548,90.0,1.0,0.0,0.0,31,-208.55,162.6386554621849,1969,1,24,1,1.0,258.55,0.13999999999998636,0.9619482496194824
1969-01-25,13.409677419354841,8.196774193548386,42.0,0.0,0.0,0.0,31,-208.47,186.83333333333334,1969,1,25,1,1.0,162.6386554621849,0.0800000000000125,0.9741248097412499
1969-01-26,13.425806451612901,8.893548387096773,90.0,0.0,0.0,0.0,31,-208.42,43.83185840707964,1969,1,26,1,1.0,186.83333333333334,0.05000000000001137,0.9817351598173553
1969-01-27,13.08064516129032,6.770967741935483,54.0,0.0,0.0,0.0,31,-208.37,101.53333333333333,1969,1,27,1,1.0,43.83185840707964,0.04999999999998295,0.9893455098934562
1969-01-28,11.309677419354838,6.3193548387096765,90.0,1.0,1.0,1.0,31,-208.36,185.55,1969,1,28,1,1.0,101.53333333333333,0.009999999999990905,0.9908675799086755
